"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique Identifier","Start day","Start month","End day","End month","Penny Loaf Troy Weight - White","Penny Loaf Troy Weight - Wheaten","Penny Loaf Troy Weight - Household","Penny Loaf Common Weight - White","Penny Loaf Common Weight - Wheaten","Penny Loaf Common Weight - Household","Two Penny Loaf Common Weight - White","Two Penny Loaf Common Weight - Wheaten","Two Penny Loaf Common Weight - Household","Six Penny Loaf Common Weight - Wheaten","Six Penny Loaf Common Weight - Household","Twelve Penny Loaf Common Weight - Wheaten","Twelve Penny Loaf Common Weight - Household","Eighteen Penny Loaf Common Weight - Wheaten","Eighteen Penny Loaf Common Weight - Household","Quartern Loaf Common Weight - Wheaten","Quartern Loaf Common Weight - Household","Half Peck Loaf Common Weight - Wheaten","Half Peck Loaf Common Weight - Household","Peck Loaf Common Weight - Wheaten","Peck Loaf Common Weight - Household",Salt
699,11803,958,1,1700,1,1700-01-verso,17,December,24,December,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s"
700,11804,961,1,1700,2,Laxton-1700-02-verso,24,December,31,December,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s"
701,11805,972,1,1700,3,Laxton-1700-03-verso,31,December,7,January,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l to the Bushel 5 s"
702,11806,976,1,1700,4,Laxton-1700-04-verso,7,January,14,January,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
703,11807,1347,1,1700,5,Laxton-1700-05-verso,14,January,21,January,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l to the Bushel 5 s"
704,11808,1348,1,1700,06,Laxton-1700-06-verso,21,January,28,January,00;08;00,00;12;00,00;16;01,00;08;12,00;13;03,00;17;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
705,11809,1349,1,1700,7,Laxton-1700-07-verso,28,January,4,February,00;08;06,00;12;10,00;16;14,00;09;02,00;13;12,00;18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
706,11810,1350,1,1700,8,Laxton-1700-08-verso,4,February,11,February,00;08;06,00;12;10,00;16;14,00;09;02,00;13;12,00;18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
707,11811,1351,1,1700,9,Laxton-1700-09-verso,11,February,18,February,00;08;06,00;12;10,00;16;14,00;09;02,00;13;12,00;18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
708,11812,1352,1,1700,10,Laxton-1700-10-verso,18,February,25,February,00;08;06,00;12;10,00;16;14,00;09;02,00;13;12,00;18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
709,11813,1353,1,1700,11,Laxton-1700-11-verso,25,February,4,March,00;07;14,00;11;10,00;15;07,00;08;07,00;12;10,00;16;14,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
710,11814,1354,1,1700,12,Laxton-1700-12-verso,4,March,11,March,00;07;14,00;11;10,00;15;07,00;08;07,00;12;10,00;16;14,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
711,11815,1355,1,1700,13,Laxton-1700-13-verso,11,March,18,March,00;07;14,00;11;10,00;15;07,00;08;07,00;12;10,00;16;14,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
831,11816,1356,1,1701,1,Laxton-1701-01-verso,16,December,23,December,00;09;01,00;13;10,00;17;19,00;09;14,00;14;13,00;19;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
832,11817,1357,1,1701,2,Laxton-1701-02-verso,23,December,30,December,00;09;01,00;13;10,00;17;19,00;09;14,00;14;13,00;19;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
833,11818,1358,1,1701,3,Laxton-1701-03-verso,30,December,6,January,00;09;01,00;13;10,00;17;19,00;09;14,00;14;13,00;19;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
834,11819,1359,1,1701,4,Laxton-1701-04-verso,6,January,13,January,00;09;01,00;13;10,00;17;19,00;09;14,00;14;13,00;19;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
835,11820,1360,1,1701,5,Laxton-1701-05-verso,13,January,20,January,00;08;13,00;13;00,00;17;06,00;09;08,00;14;04,00;19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s."
836,11821,1362,1,1701,6,Laxton-1701-06-verso,20,January,27,January,00;08;13,00;13;00,00;17;06,00;09;08,00;14;04,00;19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 7 s."
837,11822,1363,1,1701,7,Laxton-1701-07-verso,27,January,3,February,00;08;13,00;13;00,00;17;06,00;09;08,00;14;04,00;19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 7 s."
